date,min_temp,max_temp,value,cumulative_value
2021-07-25,73.9,87.0,30.4,30.4
2021-07-26,71.0,92.7,31.8,62.3
2021-07-27,67.1,95.2,31.1,93.4
2021-07-28,73.2,96.9,35.0,128.4
2021-07-29,72.6,98.6,35.6,164.0
2021-07-30,73.0,98.0,35.5,199.5
2021-07-31,73.8,95.4,34.6,234.1
2021-08-01,67.4,85.8,26.6,260.7
2021-08-02,54.9,84.5,19.7,280.4
2021-08-03,58.6,86.5,22.6,303.0
2021-08-04,62.7,88.2,25.4,328.4
2021-08-05,68.3,92.5,30.4,358.8
2021-08-06,66.4,94.4,30.4,389.3
2021-08-07,73.1,98.3,35.7,424.9
2021-08-08,65.3,93.3,29.3,454.3
2021-08-09,72.2,95.8,34.0,488.3
2021-08-10,75.7,100.1,37.9,526.2
2021-08-11,75.9,100.5,38.2,564.4
2021-08-12,73.8,100.0,36.9,601.3
2021-08-13,68.9,80.9,24.9,626.2
2021-08-14,67.4,85.9,26.7,652.9
2021-08-15,67.0,86.8,26.9,679.8
2021-08-16,67.7,86.8,27.3,707.1
2021-08-17,64.7,89.0,26.8,733.9
2021-08-18,66.9,87.2,27.0,760.9
2021-08-19,72.8,83.3,28.0,788.9
2021-08-20,72.2,98.1,35.2,824.1
2021-08-21,67.0,84.3,25.7,849.8
2021-08-22,67.1,94.1,30.6,880.4
2021-08-23,73.4,97.5,35.5,915.8
2021-08-24,75.2,101.2,38.2,954.1
2021-08-25,75.9,100.9,38.4,992.4
